relname	seq_scan	idx_scan	n_live_tup	total_bytes
scenario_records	10	22011	603821	797810688
audit_events	6	1	200000	232202240
authorized_sync_changes	3	1	100000	84590592
outbox_messages	7	40001	60000	67346432
notification_delivery_jobs	7	1	40000	28639232
notification_records	5	100000	24000	26288128
object_metadata	5	48001	18000	22536192
communication_messages	4	0	16000	16146432
checklist_responses	4	9000	20000	13139968
communication_threads	2	16000	16000	9052160
evidence_versions	4	12001	12000	8716288
potential_findings	3	6001	9000	7208960
reminder_dispatches	3	0	10000	6184960
review_decisions	2	0	12000	5816320
cap_revisions	2	1	9000	5783552
findings	6	42001	6000	4415488
evidence_version_states	1	0	12000	3342336
document_render_jobs	3	1	4000	3153920
report_versions	3	8001	4000	2867200
document_records	2	8000	4000	2260992
