relname	seq_scan	idx_scan	n_live_tup	total_bytes
scenario_records	16	22005	603918	797253632
audit_events	6	1	200000	232030208
authorized_sync_changes	3	1	100000	84336640
outbox_messages	7	40001	60000	67198976
notification_delivery_jobs	7	1	40000	28794880
notification_records	5	100000	24000	26255360
object_metadata	5	48001	18000	22478848
communication_messages	4	0	16000	15851520
checklist_responses	4	9000	20000	13123584
communication_threads	2	16000	16000	9158656
evidence_versions	4	12001	12000	8814592
potential_findings	3	6001	9000	7225344
reminder_dispatches	3	0	10000	6119424
cap_revisions	2	1	9000	5799936
review_decisions	2	0	12000	5799936
findings	6	42001	6000	4349952
evidence_version_states	1	0	12000	3350528
document_render_jobs	3	1	4000	3039232
report_versions	3	8001	4000	2801664
document_records	2	8000	4000	2260992
