relname	seq_scan	idx_scan	n_live_tup	total_bytes
scenario_records	16	22005	603737	798597120
audit_events	6	1	200000	231841792
authorized_sync_changes	3	1	100000	84066304
outbox_messages	7	40001	60000	67035136
notification_delivery_jobs	8	0	40000	28876800
notification_records	5	100000	24000	26378240
object_metadata	5	48001	18000	22618112
communication_messages	4	0	16000	16154624
checklist_responses	4	9000	20000	13033472
communication_threads	2	16000	16000	9052160
evidence_versions	4	12001	12000	8708096
potential_findings	3	6001	9000	7176192
reminder_dispatches	3	0	10000	6119424
cap_revisions	2	1	9000	5808128
review_decisions	2	0	12000	5734400
findings	6	42001	6000	4456448
evidence_version_states	1	0	12000	3375104
document_render_jobs	3	1	4000	3162112
report_versions	3	8001	4000	2850816
document_records	2	8000	4000	2310144
