relname	seq_scan	idx_scan	n_live_tup	total_bytes
scenario_records	16	22005	603904	797204480
audit_events	6	1	200000	233046016
authorized_sync_changes	3	1	103509	84697088
outbox_messages	7	40001	60000	67297280
notification_delivery_jobs	8	0	40000	28803072
notification_records	5	100000	24000	26902528
object_metadata	5	48001	18000	19562496
communication_messages	4	0	16000	15663104
checklist_responses	4	9000	20000	13156352
communication_threads	2	16000	16000	9027584
evidence_versions	4	12001	12000	8757248
potential_findings	3	6001	9000	7159808
reminder_dispatches	3	0	10000	6086656
cap_revisions	2	1	9000	5824512
review_decisions	2	0	12000	5758976
findings	6	42001	6000	4505600
evidence_version_states	1	0	12000	3375104
document_render_jobs	3	1	4000	3055616
report_versions	3	8001	4000	2834432
document_records	2	8000	4000	2269184
