relname	seq_scan	idx_scan	n_live_tup	total_bytes
scenario_records	15	11005	298595	400883712
audit_events	7	0	100000	116490240
authorized_sync_changes	4	0	50000	42278912
outbox_messages	7	20001	30000	33759232
notification_delivery_jobs	8	0	20000	14426112
notification_records	5	50000	12000	13312000
object_metadata	5	24001	9000	11362304
communication_messages	4	0	8000	8151040
checklist_responses	4	4500	10000	6578176
communication_threads	2	8000	8000	4579328
evidence_versions	4	6001	6000	4374528
potential_findings	3	3001	4500	3661824
reminder_dispatches	3	0	5384	3153920
review_decisions	2	0	6000	3022848
cap_revisions	2	1	4500	2940928
findings	6	21001	3000	2310144
evidence_version_states	1	0	6000	1703936
document_render_jobs	3	1	2000	1638400
report_versions	3	4001	2000	1466368
document_records	2	4000	2000	1163264
