relname	seq_scan	idx_scan	n_live_tup	total_bytes
scenario_records	18	44005	1191778	1566490624
audit_events	6	1	399999	464601088
authorized_sync_changes	3	1	200000	168329216
outbox_messages	7	80001	120000	134365184
notification_delivery_jobs	8	0	80000	56549376
notification_records	5	200000	48000	51634176
object_metadata	5	96001	36000	44834816
communication_messages	4	0	32000	31866880
checklist_responses	4	18000	40000	26148864
communication_threads	2	32000	32000	17997824
evidence_versions	4	24001	24000	17498112
potential_findings	3	12001	18000	14376960
reminder_dispatches	3	0	20000	12156928
review_decisions	2	0	24000	11411456
cap_revisions	2	1	18000	11403264
findings	6	84001	12000	8683520
evidence_version_states	1	0	24000	6701056
document_render_jobs	3	1	8000	6012928
report_versions	3	16001	8000	5701632
document_records	2	16000	8000	4456448
